epoch_ns	p99_us
1787124889763098826	17334271
1787124889864728002	16449535
1787124889952424969	16515071
1787124890056924823	14327807
1787124890160191855	20676607
1787124890263541346	14557183
1787124890387786430	16637951
1787124890491775258	14475263
1787124890593705410	17235967
1787124890676756397	15065087
1787124890757678100	17301503
1787124890900479895	17367039
1787124890986420923	17006591
1787124891131061151	15327231
1787124891212547506	17481727
1787124891319015742	17530879
1787124891379959764	14188543
1787124891522977457	17170431
1787124891866961612	21037055
1787124891970205425	18006015
1787124892071470585	15147007
1787124892154533970	17481727
1787124892255772498	14450687
1787124892356904602	21069823
1787124892438826079	16023551
1787124892561271063	14442495
1787124892642564660	18350079
1787124892745763218	18284543
1787124892828430039	16220159
1787124892931514670	18284543
1787124893015256547	14180351
1787124893098598371	18415615
1787124893201416177	18448383
1787124893304231480	17629183
1787124893426601834	18612223
1787124893529386866	16023551
1787124893590127471	18677759
1787124893714462610	18677759
1787124893816745276	16130047
1787124893899900109	15966207
1787124893980950511	18071551
1787124894103106873	18169855
1787124894185777146	14630911
1787124894288196254	18874367
1787124894371011275	16400383
1787124894474011441	15958015
1787124894558308585	18235391
1787124894660456893	16064511
1787124894742823965	16375807
1787124894885122805	18317311
1787124894986943004	12255231
1787124895070747937	19415039
1787124895171942351	19316735
1787124895252917122	16293887
1787124895354082164	16343039
1787124895455958996	16416767
1787124895537118852	19218431
1787124895619096044	18857983
1787124895721542991	18563071
1787124895844836959	18874367
1787124895946880197	18628607
1787124896050572946	16670719
1787124896111349895	18939903
1787124896215753274	18989055
1787124896300542789	18808831
1787124896426772244	18792447
1787124896510423191	18612223
1787124896593646577	14376959
1787124896719618002	18972671
1787124896825745840	17219583
1787124896931983086	18595839
1787124897016206780	19054591
1787124897121432352	16875519
1787124897454437498	22364159
1787124897518032462	17055743
1787124897663532612	19464191
1787124897767588379	22413311
1787124897811559726	19021823
1787124897975227201	17989631
1787124898076753341	18087935
1787124898158536491	22118399
1787124898264725040	15179775
1787124898325741355	18825215
1787124898448464982	19234815
1787124898531737971	19333119
1787124898675297301	18268159
1787124898758546990	18120703
1787124898880541394	17596415
1787124898961565273	18300927
1787124899063001646	18268159
1787124899167177303	18350079
1787124899228956173	18399231
1787124899392465997	21774335
1787124899456542445	18038783
1787124899659444540	18251775
1787124899742035443	18300927
1787124899843329689	19267583
1787124899925349613	18563071
1787124900008744918	18350079
1787124900131227188	19234815
1787124900234595079	19382271
1787124900337055576	15794175
1787124900418520406	19415039
1787124900542418152	19431423
1787124900626577778	19546111
1787124900727928238	12992511
1787124900788786679	19726335
1787124900913568527	18792447
1787124900994559063	18251775
1787124901118016314	17563647
1787124901179064647	19103743
1787124901282708101	18431999
1787124901384854368	18448383
1787124901466394381	19005439
1787124901568311116	19087359
1787124901671070623	14639103
1787124901752547505	17317887
1787124901894165914	22806527
1787124901977788838	18808831
1787124902099227862	17252351
1787124902201424370	20381695
1787124902303187893	17022975
1787124902385482295	20332543
1787124902488023876	19021823
1787124902591260132	20234239
1787124902713764011	17219583
1787124902921513193	18464767
1787124902921564846	23461887
1787124903002590792	19415039
1787124903083744513	23560191
1787124903248318330	19513343
1787124903352745124	19939327
1787124903477860059	14196735
1787124903549506410	19873791
1787124903653548405	19644415
1787124903755939313	17825791
1787124903883512989	19791871
1787124903945530444	20037631
1787124904049693690	20021247
1787124904157544693	15351807
1787124904238404181	19955711
1787124904320868311	18120703
1787124904406617189	19955711
1787124904531517815	19791871
1787124904620456574	19791871
1787124904724852167	18595839
1787124904830877545	18055167
1787124904914104353	18677759
1787124905017734127	19628031
1787124905122835618	18137087
1787124905266676530	20463615
1787124905348503996	14909439
1787124905449461894	19791871
1787124905531079319	19808255
1787124905635740998	20398079
1787124905697175299	19955711
1787124905819897630	20496383
1787124905941221918	15876095
1787124906025037511	20627455
1787124906105891831	19480575
1787124906227076818	18431999
1787124906328726006	20856831
1787124906411295981	15925247
1787124906533397289	24494079
1787124906635741984	19791871
1787124906737542185	19841023
1787124906839905522	19808255
1787124906921798301	15106047
