epoch_ns	iso_time	masters	autoscaling	standby	last_scale	sts_desired	sts_ready	cluster_state	cluster_size	known_nodes	slots_ok	slots_fail	action
1787125738947801856	2026-08-19T07:48:58.949637065Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125744591091125	2026-08-19T07:49:04.592870808Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125750243854179	2026-08-19T07:49:10.245699768Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125755892310879	2026-08-19T07:49:15.894128309Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125761539232594	2026-08-19T07:49:21.541056680Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125767180909725	2026-08-19T07:49:27.182734259Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125772821568175	2026-08-19T07:49:32.823384814Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125778466834966	2026-08-19T07:49:38.468610931Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125784107800829	2026-08-19T07:49:44.109617975Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125789749599857	2026-08-19T07:49:49.751427835Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125795392406871	2026-08-19T07:49:55.394201450Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125801034871454	2026-08-19T07:50:01.036683583Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125806679862235	2026-08-19T07:50:06.681677067Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125812323553272	2026-08-19T07:50:12.325382202Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
